Nid,Title,Body,Path,Published,Language,Holiday Date,Holiday Type
1133408,Dussehra (Maha Ashtami) (Additional),"Dussehra (Maha Ashtami) (Additional)
",/content/dussehra-maha-ashtami-additional-0,1,en,21-10-2015,Restricted
1133410,Dussehra (Maha Navmi),"Dussehra (Maha Navmi)
",/content/dussehra-maha-navmi-0,1,en,22-10-2015,Restricted
1133412,Maharishi Valmiki's Birthday,"Maharishi Valmiki's Birthday
",/content/maharishi-valmikis-birthday-0,1,en,27-10-2015,Restricted
1133414,Karaka Chaturthi (Karva Chouth),"Karaka Chaturthi (Karva Chouth)
",/content/karaka-chaturthi-karva-chouth-2,1,en,30-10-2015,Restricted
1133416,Deepavali (South India),"Deepavali (South India)
",/content/deepavali-south-india-0,1,en,10-11-2015,Restricted
1133418,Naraka Chaturdasi,"Naraka Chaturdasi
",/content/naraka-chaturdasi-1,1,en,10-11-2015,Restricted
1133420,Govardhan Puja,"Govardhan Puja
",/content/govardhan-puja-2,1,en,12-11-2015,Restricted
1133422,Bhai Duj,"Bhai Duj
",/content/bhai-duj-3,1,en,13-11-2015,Restricted
1133424,Pratihar Sashthi/Surya Sashthi (Chhat Puja),"Pratihar Sashthi/Surya Sashthi (Chhat Puja)
",/content/pratihar-sashthisurya-sashthi-chhat-puja-3,1,en,17-11-2015,Restricted
1133426,Guru Teg Bahadur's Martyrdom Day,"Guru Teg Bahadur's Martyrdom Day
",/content/guru-teg-bahadurs-martyrdom-day-3,1,en,24-11-2015,Restricted
1133428,Christmas Eve,"Christmas Eve
",/content/christmas-eve-3,1,en,24-12-2015,Restricted
1133430,Maha Shivaratri,"Maha Shivaratri
",/content/maha-shivaratri-3,1,en,17-02-2015,Restricted
1163476,Birthday of Dr. B.R. Ambedkar,"Birthday of Dr. B.R. Ambedkar
",/content/birthday-dr-br-ambedkar-1,1,en,14-04-2015,Gazetted
